Sample,X,Y,Z
564,-0.027,0.023,0.961
565,-0.047,0.043,0.945
566,0.012,0.121,1.016
567,0.113,0.109,1.051
568,0.012,0.016,1.000
569,-0.008,-0.023,1.004
570,0.012,0.035,0.988
571,0.004,0.090,1.020
572,0.020,0.059,1.027
573,-0.012,0.059,1.070
574,-0.008,0.105,1.031
575,0.008,0.129,1.055
576,-0.031,0.082,1.086
577,-0.027,0.055,0.969
578,0.039,0.020,1.039
579,0.055,0.043,1.043
580,-0.016,0.051,1.070
581,-0.051,0.000,1.012
582,-0.090,-0.023,0.945
583,0.023,0.109,0.980
584,0.082,0.160,1.039
585,0.031,0.047,0.980
586,-0.066,-0.016,0.984
587,-0.070,0.031,1.023
588,0.039,0.094,0.988
589,0.078,0.086,1.035
590,0.035,-0.008,1.020
591,-0.016,-0.035,1.000
592,-0.039,0.000,1.027
593,0.004,0.055,1.043
594,0.020,0.023,1.039
595,-0.016,-0.008,0.996
596,-0.023,0.008,1.035
597,-0.023,0.059,1.070
598,0.016,0.059,1.012
599,0.020,0.016,1.020
600,0.035,-0.008,1.020
601,-0.008,-0.016,0.969
602,-0.051,-0.047,1.020
603,-0.004,-0.016,1.008
604,0.020,-0.031,1.000
605,0.039,0.000,0.910
606,0.027,0.027,0.969
607,-0.035,-0.004,1.027
608,-0.055,-0.039,1.043
609,-0.004,0.004,1.008
610,0.094,0.047,1.008
611,0.082,-0.004,1.031
612,0.016,-0.066,1.031
613,-0.039,-0.078,1.051
614,-0.031,-0.016,1.047
615,0.027,0.023,1.074
616,0.059,0.004,1.062
617,0.012,-0.051,1.016
618,-0.051,-0.074,1.027
619,-0.047,-0.035,1.016
620,0.004,-0.012,1.051
621,0.012,-0.027,1.043
622,0.008,-0.043,1.078
623,0.004,-0.016,1.012
624,-0.035,-0.016,1.020
625,-0.004,0.000,1.109
626,0.023,-0.031,0.992
627,-0.016,-0.043,1.016
628,0.039,0.004,1.004
629,-0.008,0.000,1.117
630,-0.008,0.000,1.117
631,0.016,-0.035,0.969
632,0.016,-0.020,0.988
633,0.043,-0.004,1.055
634,0.012,-0.004,1.039
635,-0.047,-0.066,1.016
636,-0.039,-0.055,1.020
637,0.020,0.027,1.035
638,0.062,0.066,1.008
639,0.023,0.000,1.012
640,-0.016,-0.023,1.027
641,-0.066,-0.008,1.035
642,-0.008,0.008,1.047
643,0.023,0.004,1.055
644,0.020,-0.031,1.043
645,0.016,-0.074,1.027
646,-0.004,-0.012,0.992
647,-0.008,0.035,1.020
648,0.000,0.027,1.023
649,0.004,-0.004,0.941
650,0.020,0.051,1.066
651,-0.027,0.043,0.980
652,-0.008,0.012,1.043
653,0.020,0.020,0.957
654,0.020,0.020,0.957
655,0.020,0.027,1.066
656,0.023,0.039,1.008
657,0.008,0.016,1.016
658,-0.016,-0.012,1.020
659,0.000,0.008,0.984
660,0.020,0.031,0.996
661,0.039,0.070,1.035
662,-0.008,0.031,1.020
663,-0.055,0.016,1.012
664,-0.016,0.059,1.020
665,0.051,0.098,1.031
666,0.051,0.062,1.020
667,0.012,0.008,1.023
668,-0.039,-0.008,1.016
669,-0.039,0.023,0.973
670,0.000,0.066,1.031
671,0.000,0.066,1.031
672,0.016,0.078,1.016
673,0.012,0.047,0.977
674,0.008,0.035,1.000
675,-0.012,0.070,1.082
676,0.000,0.055,0.969
677,0.020,0.016,0.988
678,0.000,0.031,1.102
679,0.062,0.051,1.023
680,0.008,0.062,0.984
681,-0.016,0.039,1.004
682,-0.016,0.047,1.008
683,0.000,0.043,1.004
684,0.008,0.059,0.992
685,-0.012,0.047,1.031
686,-0.023,0.012,0.996
687,0.008,0.027,0.984
688,0.051,0.074,1.016
689,0.043,0.051,1.055
690,-0.023,-0.004,1.020
691,-0.039,-0.008,0.996
692,-0.012,0.043,1.035
693,0.023,0.086,1.000
694,0.027,0.047,0.984
695,-0.027,0.000,1.016
696,-0.016,-0.008,0.973
697,0.000,0.027,1.008
698,0.008,0.066,1.004
699,0.031,0.012,1.047
700,-0.012,-0.043,1.020
701,0.035,-0.023,0.941
702,0.016,0.016,1.000
703,-0.031,0.008,1.004
704,0.000,-0.008,0.988
705,0.023,0.043,0.992
706,0.027,0.047,1.039
707,0.008,0.008,1.023
708,-0.016,-0.035,1.008
709,0.008,-0.020,0.980
710,0.027,-0.008,1.031
711,0.035,-0.012,1.055
712,-0.020,-0.039,1.012
713,-0.023,-0.035,1.055
714,0.012,0.023,1.000
715,0.055,0.023,1.012
716,-0.023,-0.031,1.016
717,-0.066,-0.051,1.035
718,-0.035,-0.023,1.066
719,0.008,0.008,1.055
720,0.066,-0.012,1.082
721,0.062,-0.035,0.945
722,-0.039,-0.082,1.094
723,-0.016,-0.066,1.031
724,0.027,-0.039,1.020
725,-0.004,-0.016,1.016
726,0.012,-0.008,0.984
727,0.004,-0.023,1.023
728,-0.012,-0.012,1.012
729,-0.039,-0.012,1.027
730,0.008,-0.031,1.027
731,0.020,-0.051,1.039
732,0.023,-0.062,1.062
733,-0.008,-0.062,1.043
734,0.000,-0.074,1.000
735,-0.023,-0.055,1.023
736,0.000,-0.027,1.027
737,0.031,0.004,1.012
738,-0.012,0.012,1.055
739,-0.008,-0.020,1.035
740,-0.020,-0.031,1.027
741,0.004,-0.020,1.027
742,0.023,-0.027,1.051
743,-0.004,-0.062,1.055
744,0.012,-0.078,1.004
745,-0.016,-0.027,1.023
746,-0.008,-0.023,0.988
747,0.031,-0.027,0.977
748,0.020,-0.023,0.996
749,-0.004,-0.031,0.965
750,0.012,0.008,0.996
751,-0.004,0.023,1.020
752,0.016,0.012,1.062
753,0.004,-0.008,1.008
754,0.000,-0.023,1.027
755,0.000,0.004,1.039
756,-0.008,-0.023,1.039
757,-0.016,-0.031,1.031
758,0.000,0.000,1.051
759,0.023,0.027,1.035
760,-0.004,0.023,1.031
