Sample,X,Y,Z
785,0.016,0.051,0.938
786,0.035,0.090,1.047
787,0.020,0.062,0.984
788,0.004,0.000,1.012
789,0.027,-0.039,1.016
790,-0.008,-0.035,1.062
791,-0.012,-0.047,1.059
792,0.000,-0.023,1.059
793,-0.004,0.000,1.043
794,0.004,0.039,0.949
795,0.035,0.070,0.969
796,0.020,0.066,0.980
797,-0.008,0.055,1.012
798,-0.004,0.008,1.000
799,0.012,0.016,1.047
800,0.043,0.012,1.062
801,0.031,0.000,1.074
802,0.000,-0.020,1.090
803,0.004,-0.020,1.062
804,0.000,0.023,1.055
805,0.023,0.059,1.066
806,0.027,0.078,1.051
807,0.016,0.039,0.984
808,0.004,0.008,1.004
809,0.020,0.004,1.004
810,0.023,0.023,0.992
811,0.031,0.020,1.008
812,0.059,0.016,1.000
813,0.051,0.023,1.008
814,0.023,0.027,1.031
815,-0.004,0.023,1.027
816,0.043,0.012,1.035
817,0.027,0.031,1.043
818,0.016,0.023,1.035
819,0.039,0.020,0.949
820,-0.016,-0.012,0.988
821,0.012,-0.004,1.008
822,0.023,0.020,0.926
823,0.031,0.031,0.961
824,0.051,0.039,0.969
825,0.035,0.047,0.949
826,-0.008,0.023,0.941
827,-0.031,-0.031,0.910
828,-0.023,-0.047,0.926
829,-0.020,0.008,0.957
830,-0.004,0.027,0.926
831,-0.004,0.004,0.934
832,-0.008,-0.031,0.973
833,-0.027,-0.012,0.934
834,0.020,0.023,0.961
835,0.047,0.047,0.957
836,0.047,0.051,0.969
837,0.031,0.016,1.023
838,0.004,0.004,1.020
839,-0.016,-0.016,1.035
840,0.000,-0.047,1.027
841,-0.020,0.000,0.988
842,0.055,0.047,1.023
843,0.031,0.039,1.051
844,0.035,0.039,1.047
845,0.035,0.055,1.098
846,0.070,0.039,1.145
847,0.055,0.023,1.129
848,0.027,0.008,1.102
849,0.031,-0.008,1.078
850,0.000,0.012,1.105
851,-0.004,0.004,1.039
852,-0.008,-0.008,1.035
853,-0.016,0.016,0.969
854,0.012,0.035,0.996
855,0.016,0.035,0.988
856,0.012,-0.004,0.984
857,0.000,-0.027,0.957
858,-0.004,-0.012,0.910
859,0.023,0.008,0.945
860,0.043,0.004,0.938
861,0.008,0.012,0.922
862,-0.012,0.012,0.941
863,-0.008,-0.008,0.961
864,0.020,-0.008,0.953
865,-0.023,0.004,0.984
866,0.016,-0.023,0.961
867,-0.016,-0.035,0.980
868,0.039,-0.004,0.992
869,0.035,0.012,0.934
870,0.055,0.059,1.035
871,0.023,0.047,1.090
872,0.027,0.051,1.098
873,0.012,0.062,1.094
874,0.023,0.039,1.113
875,0.000,0.004,1.160
876,0.000,-0.023,1.082
877,0.004,-0.023,1.125
878,0.039,0.000,1.117
879,0.031,0.008,1.059
880,0.020,0.000,1.023
881,0.000,-0.012,0.969
882,0.020,0.039,0.988
883,0.020,0.078,0.957
884,0.043,0.094,0.977
885,0.023,0.035,0.945
886,0.012,0.008,0.941
887,-0.004,-0.027,0.969
888,-0.020,-0.070,0.965
889,0.016,-0.051,0.965
890,-0.039,-0.039,0.996
891,-0.004,0.004,1.020
892,0.027,0.051,0.980
893,0.031,0.070,0.906
894,0.035,0.059,1.008
895,0.008,0.016,1.070
896,0.023,0.027,1.086
897,0.035,0.043,1.086
898,0.020,0.027,1.086
899,0.031,-0.008,1.086
900,0.008,-0.020,1.098
901,0.004,0.027,1.121
902,0.016,0.051,1.059
903,0.031,0.047,1.035
904,0.035,0.023,1.020
905,-0.027,0.016,0.992
906,-0.004,0.035,0.980
907,0.020,0.027,0.988
908,0.012,0.000,0.934
909,-0.004,-0.012,0.953
910,0.016,0.000,0.922
911,0.020,0.020,0.945
912,0.027,0.023,0.973
913,0.012,0.016,0.887
914,0.012,0.020,1.035
915,-0.020,0.012,1.016
916,0.043,-0.004,0.949
917,0.031,0.020,0.980
918,0.031,0.004,1.031
919,0.020,0.020,1.059
920,0.023,0.027,1.043
921,0.039,0.055,1.043
922,0.031,0.059,1.086
923,0.012,0.035,1.062
924,0.020,0.012,1.086
925,-0.012,-0.004,1.062
926,0.004,0.012,1.070
927,0.023,-0.008,1.062
928,0.020,-0.008,1.012
929,-0.008,-0.004,0.984
930,0.016,0.004,0.988
931,0.043,0.027,0.973
932,0.039,0.051,0.961
933,0.020,0.051,0.957
934,0.035,0.016,0.992
935,0.023,-0.004,0.973
936,0.027,-0.027,0.961
937,-0.004,-0.012,1.031
938,0.012,-0.020,1.020
939,-0.016,-0.008,1.020
940,0.008,0.000,1.094
941,0.008,0.008,1.062
942,0.012,0.047,1.039
943,0.020,0.031,1.055
944,0.008,0.023,1.059
