Sample,X,Y,Z
586,-0.055,0.004,1.090
587,-0.039,0.008,1.098
588,-0.008,0.039,1.090
589,0.012,0.027,1.152
590,-0.023,-0.008,1.176
591,-0.008,0.020,1.098
592,0.027,0.031,1.074
593,-0.008,0.016,1.023
594,-0.027,0.000,0.988
595,-0.055,0.004,0.945
596,-0.066,0.008,0.941
597,-0.094,-0.004,0.891
598,-0.059,0.012,0.926
599,-0.102,0.004,0.910
600,-0.082,0.035,0.930
601,-0.039,0.000,0.977
602,-0.102,-0.004,0.938
603,-0.082,0.016,1.086
604,-0.027,0.051,1.047
605,-0.031,0.023,1.094
606,-0.016,-0.004,1.086
607,-0.004,0.008,1.094
608,-0.023,0.027,1.125
609,0.000,0.023,1.152
610,-0.016,-0.012,1.102
611,-0.047,-0.004,1.113
612,0.004,0.059,1.027
613,0.000,0.047,1.043
614,-0.023,-0.008,0.980
615,-0.023,-0.023,0.961
616,-0.035,0.004,0.969
617,-0.035,-0.004,0.941
618,-0.020,-0.020,0.895
619,-0.059,-0.031,0.898
620,-0.055,0.016,0.938
621,0.012,0.047,0.941
622,0.000,0.008,1.051
623,-0.008,-0.008,1.023
624,-0.008,0.000,1.047
625,0.016,-0.004,1.156
626,0.000,0.008,1.066
627,0.074,-0.016,1.020
628,0.031,0.020,1.070
629,-0.016,0.004,1.090
630,0.027,0.008,1.086
631,-0.016,-0.016,1.004
632,-0.027,-0.004,1.051
633,-0.012,-0.004,1.000
634,-0.031,-0.020,0.992
635,-0.023,-0.016,0.953
636,-0.047,0.012,0.965
637,0.008,0.016,0.992
638,-0.016,0.012,0.965
639,-0.020,-0.023,0.965
640,-0.027,-0.039,0.969
641,-0.023,-0.008,1.012
642,-0.004,0.012,0.984
643,0.016,-0.004,1.027
644,0.012,0.004,1.070
645,0.035,0.047,1.051
646,0.035,0.059,1.098
647,0.008,0.027,1.059
648,-0.008,-0.016,1.023
649,-0.027,-0.027,1.055
650,0.000,0.012,1.070
651,-0.043,-0.039,0.961
652,-0.027,-0.027,1.039
653,-0.066,-0.004,0.965
654,0.012,0.020,1.012
655,-0.043,0.008,1.023
656,-0.043,-0.008,1.047
657,-0.043,-0.004,1.027
658,-0.051,0.020,1.027
659,0.004,0.023,0.984
660,0.000,0.023,0.992
661,-0.039,0.000,1.020
662,-0.008,0.012,1.039
663,0.012,0.016,1.035
664,-0.020,0.004,0.984
665,-0.020,-0.027,1.020
666,0.012,-0.012,1.031
667,-0.039,0.000,1.027
668,-0.004,-0.008,1.008
669,-0.016,0.008,1.027
670,-0.039,0.023,1.020
671,-0.016,0.020,0.996
672,-0.047,-0.012,1.039
673,-0.055,-0.012,1.020
674,-0.051,0.016,1.082
675,-0.062,0.004,1.105
676,-0.090,-0.004,1.059
677,-0.043,-0.004,1.000
678,-0.020,-0.008,1.000
679,-0.008,0.016,1.074
680,-0.008,0.004,1.074
681,-0.008,-0.012,1.031
682,0.016,0.020,1.039
683,0.027,0.055,1.027
684,0.000,0.023,1.043
685,0.004,-0.008,0.973
686,-0.016,-0.020,1.020
687,-0.020,0.004,1.008
688,0.012,0.016,1.012
689,0.012,-0.004,0.977
690,0.004,-0.004,1.012
691,0.000,-0.012,1.012
692,0.023,-0.004,1.047
693,0.016,-0.020,1.051
694,0.000,-0.012,1.020
695,0.016,0.008,1.051
696,-0.004,0.023,0.992
697,0.023,0.016,1.070
698,0.027,0.012,0.984
699,0.027,0.004,1.055
700,0.023,0.004,1.016
701,0.039,-0.008,0.996
702,0.023,-0.016,1.086
703,0.039,0.000,1.047
704,0.047,0.023,1.000
705,0.016,0.004,1.004
706,0.016,0.008,1.012
707,0.012,0.020,1.020
708,0.023,0.000,1.020
709,0.016,0.000,1.008
710,0.008,-0.008,1.004
711,0.027,0.000,1.035
712,0.055,0.004,1.035
713,0.043,0.020,1.020
714,0.027,0.000,1.031
715,0.031,-0.020,1.043
716,0.016,-0.008,1.012
717,-0.016,-0.004,1.047
